user,time,tweet,latitude,longitude
briankbonham,Thu Mar 05 03:42:40 +0000 2015,"RT @Daggy1: Police say Obama bullet ban isn't needed, AR-15 round isn't a threat http://t.co/RX9Y1L0yu6 via @DCExaminer",,
RonSantoFan,Thu Mar 05 03:42:39 +0000 2015,"Barack Obama is the modern day Neville Chamberlain, except Chamberlain actually loved his country. #ycot",,
KStokesDC,Thu Mar 05 03:42:39 +0000 2015,"Allegiances typically benefits both allies, with friends like this...- What Bibi Didn't Say  http://t.co/yebtry4C1j #Israel #Boehner #Obama",,
johnblakeart,Thu Mar 05 03:42:38 +0000 2015,"RT @SheltonArms: Are you STILL FOR OBAMA? ""@ForAmerica: Under Obama, 4M illegals are getting tax refunds. Ridiculous!http://t.co/zLh7FdRAn",,
antwannathaniel,Thu Mar 05 03:42:38 +0000 2015,Photo: ittybittybrittbratt: mr-gs-kitchen: thenoirsextherapist: I think this would help to tackle the... http://t.co/3NbjIU93Zh,,
Christa14686083,Thu Mar 05 03:42:37 +0000 2015,Contentions Netanyahu Is Everything Obama Is Not http://t.co/hjFzA9W09b,,
KLSouth,Thu Mar 05 03:42:36 +0000 2015,RT @JimDeMint: 10 States Suing Over Obamas Immigration Actions Find Their Senators on Opposite Side. Report from @kelseyjharkness: http://,,
KananiOKeKai,Thu Mar 05 03:42:36 +0000 2015,@LunarLifeSims I'm an intelligent black person that goes to Harvard. I'm like an Obama or a Jennifer Hudson,,
dcepa,Thu Mar 05 03:42:36 +0000 2015,"RT @surprisetpp: Congress, the media, and the judicial system are complicit in the Obama ID Fraud!  It must end! #tcot #teaparty #tlot #con",,
MorelHunting,Thu Mar 05 03:42:35 +0000 2015,"@willis9189 Obama, the Dems, and 75 soon to be primaried Reps.",,
gcgrannie,Thu Mar 05 03:42:35 +0000 2015,RT @marklevinshow: Warrior vs. Appeaser http://t.co/QNVqklDBLu,,
Eat_shit_obama,Thu Mar 05 03:42:34 +0000 2015,RT @dansch2002: MT @sdv92: DO U AGREE IT'S TIME FOR TERM LIMITS??? 'WE THE PEOPLE' CAN DO IT!!!! http://t.co/LVoYSXEzYR #COSProject #PJNET,,
Naaman76,Thu Mar 05 03:42:34 +0000 2015,RT @Jerusalem_Post: Netanyahu responds to Obama: We did indeed present practical alternative to Iran deal  http://t.co/d9YF33rSbE http://t.,,
JasonStagman,Thu Mar 05 03:42:33 +0000 2015,RT @GregAbbott_TX: BREAKING: Obama Admin. misled Fed. Court &amp; issued thousands of amnesty documents illegally. Time for Contempt. #tcot #tx,,
CSG_LLC,Thu Mar 05 03:42:32 +0000 2015,"RT @WhiteHouse: ""Every girl is precious. Every girl deserves an education."" President Obama: http://t.co/cEWIR52NSE #LetGirlsLearn http://",,
DemocratCA,Thu Mar 05 03:42:32 +0000 2015,RT @andendall: Rolling Stone Names President Obama One of the Most Successful Presidents in US Historyhttp://t.co/TIf6ZcJFhr http://t.co,,
sweetangelface,Thu Mar 05 03:42:32 +0000 2015,RT @andendall: Rolling Stone Names President Obama One of the Most Successful Presidents in US Historyhttp://t.co/TIf6ZcJFhr http://t.co,,
NormanSie,Thu Mar 05 03:42:31 +0000 2015,"RT @Mike_Beacham: ""@68GoHawks: #Impeach Barack Hussein Obama #OffendEveryOneIn4Words http://t.co/F8xiTVPL7r"" PROSECUTE TYRANNY &amp; TREASO",,
proadstudio,Thu Mar 05 03:42:31 +0000 2015,When did Obama take military option off the table? Never. @shortwave8669 @Sam_Schulman @Kassandra_Troy @MichaelPodwill,,
gcgrannie,Thu Mar 05 03:42:29 +0000 2015,RT @SenTedCruz: This is why the Obama Administrations deal with Iran MUST be stopped. #BibiSpeech http://t.co/qfc4JfRVRx,,
BethMSH_,Thu Mar 05 03:42:29 +0000 2015,RT @cos_mt_dir: MT @BethMSH_: Is this how Obama shows his love for America? http://t.co/jujECIjJmM #NoAmnesty #COSProject #PJNET,,
landau_byron,Thu Mar 05 03:42:29 +0000 2015,RT @AHMalcolm: RT @notoserfdom  Netanyahu is way more eloquent in his second language than Obama is in his first. http://t.co/MvmibmzAyl #I,,
bwtanker,Thu Mar 05 03:42:29 +0000 2015,"RT @PhxKen: BOOM! Ralph Peters says Obama, Dems acted like snitty bitchy high school girls after Bibi speech http://t.co/2I5n2vd1Wf",,
JuvenileJian,Thu Mar 05 03:42:29 +0000 2015,IF I DONT GO ON KIAN&amp;JC TOUR IM GONNA DJAJAJSKOAOANX LIKE ITS REQUIRED BY OBAMA THAT I GO MEET KIAN AND JC,,
jollyg00dfellow,Thu Mar 05 03:42:28 +0000 2015,@nytimes Imagine if the media had been so probing with #Obama back in '07 and '08 instead of being as smitten as teenagers.,,
dudeokdude,Thu Mar 05 03:42:28 +0000 2015,"RT @SheriffClarke: Obama said ""My deal with Iran will prevent them from ever getting a nuclear weapon...and if you like your doctor, you ca",,
CANARYorg,Thu Mar 05 03:42:27 +0000 2015,RT @LyleKlich: @MicheleBachmann @CANARYorg Time to demand emails between Huma Abedin and Hillary!  Obama and Hillary destroyed mid east ...,,
roxmacd,Thu Mar 05 03:42:27 +0000 2015,"RT @PatDollard: Police Say Obama Bullet Ban Isn't Needed, AR-15 Round Isn't A Threat http://t.co/Pd4mT9Q2vz  #2A #AR15 #nra #tcot #pjnet #u",,
andrew_parks34,Thu Mar 05 03:42:27 +0000 2015,RT @reillybryant_: jefcoed gets hated on more than Obama lol,,
AndrewManagh,Thu Mar 05 03:42:26 +0000 2015,"RT @Babbsgirl2: ""#Democratic NY Assemblyman on Iran Deal: 'I Am Really Ashamed of #Obama' http://t.co/xbaTEYMc1r http://t.co/yJvnmzudwG""",,
